GEO_CODE,Total_households,Households_with_at_least_one_vars_or_vans,Per_cent_of_households_with_at_least_one_car_or_van
E02000251,2442,1876,0.768222768
E02000252,3717,1834,0.493408663
E02000253,3744,2193,0.585737179
E02000254,2487,1887,0.758745476
E02000255,3622,2526,0.697404749
E02000256,3782,2387,0.631147541
E02000257,5873,3571,0.608036778
E02000258,2544,1579,0.620676101
E02000259,2283,1656,0.725361367
E02000260,2468,1574,0.637763371
E02000261,4110,2139,0.520437956
E02000262,3771,1896,0.502784407
E02000263,3155,1920,0.608557845
E02000264,3205,2059,0.642433697
E02000265,4747,2574,0.542237202
E02000266,3711,2283,0.61519806
E02000267,2847,1891,0.664207938
E02000268,3824,2518,0.658472803
E02000269,3245,2220,0.68412943
E02000270,3331,1474,0.442509757
E02000271,2871,1970,0.686172065
E02000272,2579,1954,0.757658007
E02000274,3557,2172,0.610626933
E02000275,2131,1380,0.647583294
E02000276,2634,1724,0.654517844
E02000277,2651,1962,0.740098076
E02000278,3278,2096,0.639414277
E02000279,4356,2847,0.653581267
E02000280,3466,2578,0.743796884
E02000281,3531,2482,0.702917021
E02000282,3491,1990,0.570037239
E02000283,2843,2109,0.741822019
E02000284,3497,2567,0.734057764
E02000285,2466,2074,0.841038118
E02000286,3863,2967,0.768055915
E02000287,2540,2053,0.808267717
E02000288,3784,2364,0.624735729
E02000289,2421,2097,0.866171004
E02000290,2853,1537,0.53873116
E02000291,3998,2574,0.643821911
E02000292,3578,2683,0.749860257
E02000293,2470,2102,0.851012146
E02000294,3009,2036,0.676636756
E02000295,3347,2608,0.779205258
E02000296,3941,2675,0.678761736
E02000297,3482,2900,0.832854681
E02000298,3075,2582,0.839674797
E02000299,3438,1952,0.56777196
E02000300,2998,1810,0.603735824
E02000301,3923,2020,0.514912057
E02000302,3123,2310,0.739673391
E02000303,3120,1603,0.513782051
E02000304,2964,2508,0.846153846
E02000305,3481,2422,0.695777076
E02000306,3594,1528,0.425153033
E02000307,3368,2394,0.710807601
E02000308,2908,1848,0.635488308
E02000309,3785,2044,0.54002642
E02000311,3656,2438,0.666849015
E02000312,4262,2554,0.599249179
E02000313,2575,1294,0.502524272
E02000314,4382,2736,0.624372433
E02000315,3440,1795,0.521802326
E02000316,4944,2044,0.413430421
E02000317,3200,1458,0.455625
E02000318,3283,1691,0.515077673
E02000319,3866,2042,0.528194516
E02000320,2524,1507,0.597068146
E02000321,2877,1283,0.445950643
E02000323,4001,1737,0.434141465
E02000324,2807,1412,0.503028144
E02000326,2932,1789,0.610163711
E02000327,2357,1113,0.472210437
E02000328,3070,1837,0.598371336
E02000329,2364,1614,0.682741117
E02000331,3236,1872,0.578491965
E02000332,2958,2100,0.709939148
E02000333,3005,2044,0.680199667
E02000334,2585,1834,0.709477756
E02000335,2637,2049,0.77701934
E02000337,2998,2021,0.674116077
E02000339,2502,1756,0.701838529
E02000340,2799,1921,0.686316542
E02000341,3024,1892,0.625661376
E02000342,2268,1497,0.66005291
E02000343,2699,1896,0.702482401
E02000344,2476,1964,0.793214863
E02000345,2693,1182,0.438915707
E02000346,2563,778,0.303550527
E02000347,2727,1071,0.392739274
E02000348,2804,1001,0.356990014
E02000350,3605,1454,0.40332871
E02000351,3826,1394,0.36434919
E02000352,2810,1175,0.418149466
E02000353,3192,1431,0.448308271
E02000354,4056,1353,0.333579882
