MSOA_code,under_70,over70-74,over75-79,over80,total
E02005829,1073,430,311,373,2187
E02005830,1002,409,328,321,2060
E02005831,1661,453,372,465,2951
E02005832,1206,327,291,395,2219
E02005833,1353,484,375,381,2593
E02005834,1298,346,299,341,2284
E02005835,1459,543,468,626,3096
E02005836,1317,682,531,612,3142
E02005837,1092,550,374,380,2396
E02005838,1230,547,416,463,2656
E02005839,1098,431,330,476,2335
E02005840,1426,396,266,296,2384
E02005842,1317,521,401,592,2831
E02005843,989,294,196,249,1728
E02005844,1395,457,331,406,2589
E02005846,887,223,178,235,1523
E02005847,1027,374,304,403,2108
E02005848,999,423,350,409,2181
E02005849,1650,698,487,512,3347
E02006903,1796,761,555,751,3863
E02005850,1066,516,360,397,2339
E02005851,777,336,246,322,1681
E02005852,1398,633,497,557,3085
E02005853,1574,597,398,446,3015
E02005856,1199,596,389,583,2767
E02005857,832,293,245,282,1652
E02005858,1211,339,218,314,2082
E02005859,1274,454,337,474,2539
E02005860,1281,348,291,432,2352
E02005861,821,244,164,227,1456
E02005862,1081,426,341,463,2311
E02005863,1234,477,378,649,2738
E02005864,1240,403,293,457,2393
E02006906,2016,826,554,688,4084
E02005865,1464,615,505,584,3168
E02005866,1728,657,451,597,3433
E02005868,1265,407,292,404,2368
E02005869,919,266,157,301,1643
E02005870,917,273,179,341,1710
E02005871,1319,515,359,429,2622
E02005872,1024,420,360,498,2302
E02005873,1799,683,495,719,3696
E02005874,1553,511,322,498,2884
E02005875,1247,372,270,382,2271
E02005876,1391,478,373,540,2782
E02005877,1110,336,237,328,2011
E02005878,1458,490,344,540,2832
E02005879,965,260,186,218,1629
E02006835,1101,303,194,257,1855
E02005880,947,288,274,304,1813
E02005881,1138,290,232,252,1912
E02005882,1649,519,410,424,3002
E02005883,1540,329,280,302,2451
E02005884,1219,325,256,259,2059
E02005885,1584,459,335,440,2818
E02005886,2182,535,445,502,3664
E02005887,1231,264,237,375,2107
E02005888,1162,254,196,245,1857
E02005889,1797,502,399,516,3214
E02005890,1390,404,321,308,2423
E02005891,1102,195,188,242,1727
E02005892,2371,691,492,727,4281
E02005893,1834,563,404,473,3274
E02005894,2150,534,426,554,3664
E02005895,1450,666,481,521,3118
E02005896,1248,685,512,559,3004
E02005897,1743,599,428,537,3307
E02005898,2168,462,359,486,3475
E02005899,1300,480,350,437,2567
E02005900,1024,588,512,679,2803
E02005901,1297,418,343,444,2502
E02005902,1218,474,306,460,2458
E02005903,1671,669,559,628,3527
E02005904,1589,568,414,519,3090
E02005905,1066,491,337,467,2361
E02005906,1168,500,357,485,2510
E02005907,1445,546,472,574,3037
E02005908,1422,647,509,818,3396
E02005909,1163,326,199,266,1954
E02005910,1170,261,158,318,1907
E02005911,1379,422,261,342,2404
E02005912,1446,476,332,608,2862
E02005913,1344,399,304,524,2571
E02005914,1262,358,288,374,2282
E02005915,967,458,326,337,2088
E02005916,1232,389,307,410,2338
E02005917,866,492,383,575,2316
E02005918,737,343,314,434,1828
E02005919,1012,390,313,320,2035
E02005920,1231,589,449,505,2774
E02003237,817,424,330,430,2001
E02003238,826,214,129,172,1341
E02003239,1168,530,358,519,2575
E02003240,717,323,204,247,1491
E02003241,1068,399,320,363,2150
E02003242,1052,482,413,583,2530
E02003243,1033,290,178,278,1779
E02003244,885,281,233,393,1792
E02003245,888,221,139,156,1404
E02003246,712,219,119,185,1235
E02003247,1180,382,240,255,2057
E02003248,759,226,169,349,1503
E02003249,1130,376,278,360,2144
E02003250,755,202,131,322,1410
E02003251,1342,508,428,605,2883
E02003252,1162,278,169,311,1920
E02003253,990,286,224,315,1815
E02003254,1363,600,393,576,2932
E02003255,1348,479,367,583,2777
E02003257,1055,323,192,232,1802
E02006877,1186,304,279,373,2142
E02006878,1185,169,108,185,1647
E02003258,1221,432,366,470,2489
E02003259,804,207,204,272,1487
E02003260,936,237,128,170,1471
E02003261,793,280,313,463,1849
E02003262,1185,332,279,375,2171
E02003263,1268,350,341,587,2546
E02003264,1182,322,237,444,2185
E02003265,1138,458,305,389,2290
E02003266,1249,232,187,310,1978
E02003267,1135,221,172,250,1778
E02003268,1120,211,170,310,1811
E02003269,1138,364,299,441,2242
E02003270,1381,280,246,494,2401
E02003271,1336,367,216,251,2170
E02003272,849,181,116,208,1354
E02003273,1378,325,196,305,2204
E02003274,736,98,108,197,1139
E02003275,950,188,124,237,1499
E02003276,580,116,84,153,933
E02003277,1091,263,152,263,1769
E02003278,908,212,150,165,1435
E02003279,1177,664,550,757,3148
E02003280,1518,582,426,589,3115
E02003281,1169,695,557,775,3196
E02003282,1604,509,419,593,3125
E02003283,1398,545,395,584,2922
E02003284,1747,418,288,374,2827
E02003285,1595,267,188,224,2274
E02003286,1053,540,403,562,2558
E02003287,1392,635,438,723,3188
E02003288,1806,357,219,348,2730
E02003289,1042,386,322,463,2213
E02003290,1374,484,343,694,2895
E02003291,1490,615,417,444,2966
E02003292,1650,332,234,275,2491
E02003293,1531,408,299,559,2797
E02003294,1329,623,551,787,3290
E02003295,1299,548,403,542,2792
E02003296,874,541,309,378,2102
E02003297,865,435,337,392,2029
E02003298,840,457,303,445,2045
E02003299,874,356,232,358,1820
E02003300,891,417,289,287,1884
E02003301,1210,407,266,295,2178
E02003302,1090,287,171,221,1769
E02003303,1002,347,187,268,1804
E02003304,1082,490,301,524,2397
E02003305,744,377,275,335,1731
E02003307,1229,401,302,575,2507
E02003308,955,296,175,168,1594
E02003309,855,353,239,358,1805
E02003310,1144,210,116,130,1600
E02003311,795,230,174,312,1511
E02003312,585,132,100,97,914
E02003313,1444,359,233,321,2357
E02006859,591,86,50,34,761
E02006926,740,167,105,115,1127
E02003616,869,390,302,359,1920
E02003617,1374,607,440,557,2978
E02003618,1343,532,348,513,2736
E02003619,1719,644,486,554,3403
E02003620,1244,559,348,603,2754
E02003621,1277,619,439,593,2928
E02003622,1239,345,265,444,2293
E02003623,1661,556,379,506,3102
E02003624,752,226,193,397,1568
E02003625,1081,301,228,486,2096
E02003626,790,234,165,202,1391
E02003627,1135,299,224,388,2046
E02003628,844,181,100,224,1349
E02003629,1237,278,223,388,2126
E02003630,1401,223,153,230,2007
E02003631,923,282,184,239,1628
E02003632,1058,259,170,236,1723
E02003633,1590,393,289,292,2564
E02003634,1855,593,372,490,3310
E02003635,1211,328,267,355,2161
E02003599,626,229,148,192,1195
E02003600,749,377,262,282,1670
E02003601,895,508,314,353,2070
E02003602,774,416,337,378,1905
E02003603,1198,504,335,430,2467
E02003604,1166,382,322,379,2249
E02003605,1008,461,363,366,2198
E02003606,984,516,384,468,2352
E02003607,1306,501,361,421,2589
E02003608,1506,570,405,517,2998
E02003609,1410,487,353,476,2726
E02003610,942,393,312,480,2127
E02003611,1114,493,369,480,2456
E02003612,1440,510,415,433,2798
E02003613,571,267,207,333,1378
E02003614,897,372,246,240,1755
E02003615,1163,591,413,483,2650
E02003636,889,359,301,353,1902
E02003637,1350,575,453,553,2931
E02003638,934,507,329,408,2178
E02003639,1083,397,298,509,2287
E02003640,751,407,251,351,1760
E02003641,684,363,244,195,1486
E02003642,1111,268,148,177,1704
E02003643,1442,381,303,368,2494
E02003644,1135,343,238,343,2059
E02003645,846,289,239,451,1825
E02003646,1300,454,328,352,2434
E02003647,1136,416,292,509,2353
E02003648,619,209,148,269,1245
E02003649,873,412,343,380,2008
E02003650,972,533,398,470,2373
E02003651,992,469,366,400,2227
E02003719,1081,248,224,351,1904
E02003720,963,322,236,380,1901
E02003721,1025,294,221,470,2010
E02003722,1035,379,282,395,2091
E02003723,956,207,160,264,1587
E02003724,1152,279,150,276,1857
E02003725,1303,359,272,421,2355
E02003726,867,230,157,161,1415
E02003727,1206,170,138,199,1713
E02003728,1267,265,213,296,2041
E02003729,1472,386,300,347,2505
E02003730,2305,321,316,419,3361
E02003731,1894,355,251,485,2985
E02003732,1265,426,327,462,2480
E02003733,1242,545,354,418,2559
E02003734,1488,591,433,700,3212
E02003735,1041,425,361,485,2312
E02003736,1433,652,488,516,3089
E02003737,1458,607,402,625,3092
E02003738,851,376,260,337,1824
E02003739,869,370,284,425,1948
E02003740,947,383,304,450,2084
E02006825,1094,435,287,411,2227
E02003742,790,541,386,467,2184
E02003743,836,464,348,532,2180
E02003744,1104,673,512,738,3027
E02003745,1197,656,495,528,2876
E02003746,1127,373,315,405,2220
E02003747,1806,754,568,799,3927
E02003748,1157,519,404,501,2581
E02003749,944,375,262,275,1856
E02003750,1183,494,432,608,2717
E02003751,1290,490,356,465,2601
E02003752,1682,559,454,594,3289
E02003753,1391,623,379,498,2891
E02003754,753,391,260,300,1704
E02003755,1341,505,351,478,2675
E02003756,940,407,315,353,2015
E02003757,909,377,315,315,1916
E02003758,1145,522,404,445,2516
E02003759,739,418,276,308,1741
E02003760,1052,220,142,241,1655
E02003761,816,413,316,441,1986
E02003762,1469,532,439,521,2961
E02003763,1088,548,345,355,2336
E02003764,1423,298,230,411,2362
E02003765,754,434,354,529,2071
E02003766,992,363,245,312,1912
E02003767,770,410,310,350,1840
E02003768,1219,716,574,691,3200
E02003769,814,498,439,403,2154
E02003770,1137,512,347,366,2362
E02003771,635,315,244,390,1584
E02003772,695,468,357,398,1918
E02003773,1087,466,349,411,2313
E02003774,574,330,259,349,1512
E02003775,1099,434,297,346,2176
E02003776,1025,406,274,414,2119
E02003777,1201,361,285,335,2182
E02003778,916,293,220,280,1709
E02003779,686,299,212,208,1405
E02003780,1431,501,335,630,2897
E02003781,834,273,231,292,1630
E02003783,907,377,313,601,2198
E02003784,1015,512,375,473,2375
E02003785,1309,384,340,499,2532
E02003786,1251,369,318,541,2479
E02003787,901,516,375,512,2304
E02003788,1057,392,381,431,2261
E02003789,1439,438,315,456,2648
E02003790,1771,629,429,664,3493
E02003791,1375,443,366,448,2632
E02003792,1434,619,472,590,3115
E02003793,1036,435,311,326,2108
E02006873,917,116,97,138,1268
E02006874,1373,397,287,349,2406
E02004424,712,441,320,381,1854
E02004425,700,371,239,417,1727
E02004426,739,393,324,538,1994
E02004427,791,497,427,658,2373
E02004428,780,368,288,532,1968
E02004429,822,565,407,600,2394
E02004430,1084,416,322,352,2174
E02004431,1053,384,271,276,1984
E02004432,725,375,305,356,1761
E02004433,898,396,269,359,1922
E02004434,1110,385,238,248,1981
E02004435,1078,289,198,298,1863
E02004436,963,347,199,197,1706
