MSOA,White%,Mixed%,Asian%,Black%,Other%
E02004359,0.9486,0.0168,0.022,0.0084,0.0042
E02004361,0.9605,0.0124,0.0179,0.0031,0.006
E02004362,0.9536,0.0194,0.0201,0.0047,0.0023
E02004363,0.9129,0.0165,0.0517,0.0126,0.0062
E02004364,0.9597,0.0161,0.0157,0.0044,0.0041
E02004365,0.8779,0.0325,0.0611,0.0148,0.0137
E02004366,0.9222,0.02,0.0373,0.0133,0.0072
E02004367,0.9438,0.0149,0.0328,0.005,0.0035
E02006857,0.9539,0.0133,0.0196,0.008,0.0052
E02006858,0.935,0.0244,0.0258,0.0085,0.0063
E02004368,0.9428,0.0138,0.0302,0.0068,0.0063
E02004369,0.9601,0.0137,0.0159,0.0048,0.0055
E02004370,0.9502,0.0225,0.0131,0.0112,0.0031
E02004371,0.96,0.0158,0.011,0.0098,0.0034
E02004372,0.9473,0.0251,0.0123,0.0102,0.0051
E02004373,0.9453,0.0223,0.0214,0.008,0.003
E02004374,0.9589,0.0188,0.0097,0.0084,0.0041
E02004375,0.917,0.0317,0.0269,0.0172,0.0072
E02004376,0.9219,0.0263,0.0328,0.0146,0.0044
E02004377,0.9481,0.018,0.021,0.0093,0.0037
E02004378,0.8674,0.0309,0.0598,0.0296,0.0123
E02004379,0.9796,0.0114,0.006,0.0018,0.0012
E02004380,0.9776,0.0097,0.0088,0.0022,0.0018
E02004381,0.957,0.0184,0.0186,0.0043,0.0018
E02004382,0.9766,0.0121,0.0069,0.0034,0.0009
E02004383,0.9521,0.023,0.0178,0.004,0.0031
E02004384,0.9519,0.0154,0.0234,0.0049,0.0044
E02004385,0.9573,0.0129,0.0174,0.0094,0.003
E02004386,0.9712,0.0102,0.0111,0.0043,0.0032
E02004387,0.9662,0.0146,0.0116,0.0042,0.0034
E02004388,0.954,0.0144,0.0178,0.0074,0.0065
E02004389,0.9763,0.0063,0.0114,0.0047,0.0013
E02004390,0.9781,0.0104,0.0084,0.0025,0.0005
E02004391,0.9524,0.0115,0.0293,0.0026,0.0042
E02004392,0.9789,0.0094,0.0091,0.0018,0.0009
E02004393,0.9874,0.0044,0.0064,0.0005,0.0013
E02004394,0.9738,0.0111,0.0101,0.0037,0.0013
E02004395,0.9797,0.0088,0.0094,0.0013,0.0008
E02004396,0.9756,0.0106,0.0066,0.0035,0.0037
E02004397,0.9736,0.013,0.0093,0.0036,0.0005
E02004398,0.967,0.0145,0.0106,0.005,0.0027
E02004399,0.9586,0.0107,0.0217,0.0055,0.0035
E02004400,0.9744,0.0119,0.0097,0.0022,0.0019
E02004401,0.9778,0.0093,0.009,0.0012,0.0027
E02004402,0.9378,0.0188,0.031,0.0079,0.0045
E02004403,0.9664,0.0148,0.0148,0.0023,0.0017
E02004404,0.9788,0.0109,0.0058,0.0011,0.0034
E02004405,0.9619,0.0126,0.0176,0.0038,0.0041
E02004406,0.975,0.0095,0.013,0.0015,0.001
E02004407,0.9701,0.0119,0.0126,0.0024,0.003
E02004408,0.9673,0.0113,0.0154,0.0043,0.0018
E02004409,0.9739,0.0113,0.0097,0.003,0.0021
E02004410,0.9842,0.0066,0.005,0.0018,0.0024
E02004411,0.9747,0.0079,0.0153,0.0015,0.0006
E02004412,0.9748,0.0094,0.0131,0.0022,0.0005
E02004413,0.9821,0.0086,0.0075,0.0018,0
E02004414,0.9707,0.0109,0.0152,0.0013,0.0018
E02004415,0.9754,0.0107,0.0072,0.0031,0.0036
E02004416,0.9877,0.0071,0.0029,0.0008,0.0014
E02004417,0.9769,0.0055,0.0131,0.0034,0.0011
E02004418,0.9774,0.0067,0.0105,0.0029,0.0025
E02004419,0.9695,0.011,0.0158,0.0025,0.0012
E02004420,0.974,0.0106,0.0115,0.0034,0.0006
E02004421,0.9773,0.008,0.0119,0.002,0.0009
E02004422,0.9744,0.0088,0.0118,0.0023,0.0026
E02004423,0.9785,0.0079,0.0121,0.0009,0.0005
E02004675,0.9737,0.0105,0.0102,0.0042,0.0013
E02004676,0.9719,0.0117,0.0115,0.0036,0.0012
E02004677,0.9743,0.0112,0.0093,0.0032,0.0021
E02004678,0.9767,0.0085,0.0105,0.0023,0.002
E02004679,0.9684,0.0126,0.0132,0.0044,0.0014
E02004680,0.924,0.0175,0.045,0.01,0.0035
E02004681,0.8618,0.0253,0.0752,0.0353,0.0024
E02004682,0.9111,0.0196,0.0493,0.0165,0.0035
E02004683,0.8763,0.0233,0.0741,0.0217,0.0045
E02004684,0.9055,0.0252,0.0412,0.0243,0.0038
E02004685,0.8334,0.0245,0.1237,0.0135,0.0049
E02004686,0.8234,0.0212,0.1351,0.012,0.0083
E02004687,0.9347,0.0199,0.03,0.0127,0.0027
E02004688,0.9299,0.0208,0.0331,0.0137,0.0025
E02004689,0.9794,0.0088,0.0066,0.004,0.0013
E02004690,0.9248,0.0138,0.0446,0.0114,0.0053
E02004691,0.9666,0.012,0.0157,0.0047,0.0009
E02004692,0.9596,0.0095,0.0254,0.0045,0.001
E02004693,0.9183,0.0214,0.0401,0.0181,0.0021
E02004694,0.9804,0.0086,0.0083,0.0015,0.0012
E02004695,0.9252,0.0236,0.0383,0.009,0.0038
E02004696,0.9747,0.0092,0.012,0.0027,0.0014
E02004697,0.9711,0.0101,0.0123,0.0056,0.0009
E02004698,0.9454,0.0122,0.0341,0.0025,0.0058
E02004699,0.9633,0.0111,0.0177,0.0047,0.0032
E02004700,0.9227,0.0162,0.0413,0.0171,0.0027
E02004702,0.9513,0.0123,0.0245,0.009,0.0028
E02004703,0.9813,0.0092,0.0074,0.001,0.001
E02004704,0.9654,0.0132,0.013,0.006,0.0023
E02004705,0.9657,0.0128,0.0141,0.0065,0.0008
E02004706,0.9689,0.0112,0.0131,0.0057,0.0012
E02004707,0.9688,0.0128,0.0124,0.0019,0.0041
E02004708,0.9578,0.0131,0.0215,0.0065,0.0012
E02004709,0.9813,0.0065,0.0107,0.0003,0.0012
E02004710,0.9737,0.0077,0.0116,0.0017,0.0053
E02006829,0.9808,0.0073,0.0073,0.0003,0.0043
E02006838,0.9727,0.0138,0.0099,0.0015,0.0021
E02004712,0.919,0.0156,0.0468,0.0051,0.0135
E02004713,0.9363,0.0131,0.0345,0.0071,0.0089
E02004714,0.9352,0.0128,0.0436,0.0026,0.0057
E02004715,0.9294,0.0175,0.0417,0.0057,0.0057
E02004716,0.973,0.0086,0.0135,0.0023,0.0026
E02004717,0.9211,0.0197,0.0492,0.0072,0.0028
E02004718,0.8947,0.0239,0.0545,0.0137,0.0132
E02004719,0.9773,0.0071,0.0121,0.0021,0.0014
E02004720,0.9425,0.0145,0.0344,0.0037,0.0049
E02004721,0.9497,0.0143,0.0302,0.0039,0.0018
E02004722,0.9562,0.0129,0.0266,0.0025,0.0018
E02004723,0.9696,0.0098,0.016,0.0031,0.0015
E02004724,0.9735,0.0114,0.0098,0.0039,0.0014
E02004725,0.964,0.0158,0.0144,0.0053,0.0006
E02004726,0.9763,0.0114,0.007,0.0042,0.0011
E02004727,0.9601,0.016,0.0173,0.0036,0.0031
E02004728,0.9569,0.0136,0.0234,0.0044,0.0018
E02004729,0.9655,0.0134,0.0139,0.0039,0.0032
E02004730,0.966,0.01,0.0199,0.0023,0.0018
E02004731,0.9667,0.0172,0.0118,0.0024,0.0019
E02004732,0.9707,0.0105,0.01,0.0072,0.0015
E02004733,0.9764,0.009,0.0099,0.0031,0.0016
E02004734,0.9563,0.0149,0.0213,0.0039,0.0036
E02004735,0.9629,0.0148,0.0164,0.0031,0.0029
E02004736,0.9781,0.0076,0.0111,0.0014,0.0018
E02004737,0.9588,0.0122,0.0223,0.0039,0.0027
E02004738,0.977,0.0102,0.0106,0.0015,0.0007
E02004739,0.9802,0.0091,0.0084,0.0009,0.0014
E02004740,0.9782,0.0102,0.0079,0.0024,0.0013
E02004741,0.9809,0.0054,0.009,0.0041,0.0005
E02004742,0.9645,0.0116,0.016,0.006,0.0019
E02004743,0.9781,0.0089,0.0097,0.0017,0.0016
E02004744,0.9362,0.0151,0.0137,0.0312,0.0038
E02004745,0.962,0.0185,0.0164,0.0022,0.0009
E02004746,0.9687,0.0121,0.0098,0.0039,0.0056
E02004747,0.9639,0.0146,0.0158,0.0039,0.0018
E02004748,0.9572,0.0152,0.0157,0.0077,0.0042
E02004749,0.9706,0.0144,0.012,0.0018,0.0011
E02004750,0.9668,0.0121,0.0121,0.0073,0.0018
E02004751,0.963,0.0138,0.0196,0.0024,0.0011
E02004752,0.9666,0.012,0.0153,0.0041,0.002
E02004753,0.9261,0.0159,0.0397,0.0135,0.0046
E02004754,0.9734,0.0122,0.0106,0.0013,0.0025
E02004755,0.8997,0.0208,0.0687,0.0059,0.0049
E02004756,0.9542,0.017,0.0217,0.0044,0.0026
E02004757,0.9628,0.015,0.0174,0.0029,0.002
E02004758,0.943,0.0221,0.0251,0.0055,0.0043
E02004759,0.9651,0.0123,0.0178,0.0031,0.0017
E02004760,0.9536,0.0175,0.0174,0.0072,0.0043
E02004761,0.9621,0.0142,0.0151,0.0083,0.0005
E02004764,0.9767,0.0082,0.0121,0.0024,0.0006
E02004765,0.9673,0.0118,0.0178,0.0012,0.002
E02004766,0.944,0.0265,0.0244,0.0039,0.0012
E02004767,0.9768,0.0127,0.0071,0.0022,0.0012
E02004768,0.9496,0.0191,0.0241,0.0057,0.0014
E02004769,0.9724,0.0139,0.0058,0.0067,0.0012
E02004770,0.9795,0.0096,0.0048,0.0051,0.0012
E02004771,0.9691,0.0139,0.0112,0.0038,0.002
E02004772,0.9744,0.0102,0.0086,0.0047,0.0021
E02004774,0.9739,0.0117,0.0119,0.0013,0.0013
E02004775,0.9692,0.012,0.0142,0.0016,0.003
E02004776,0.9767,0.011,0.01,0.001,0.0012
E02004777,0.9718,0.0149,0.0102,0.002,0.0011
E02004778,0.9752,0.0126,0.0073,0.004,0.0008
