MSOA Code,pop0-49,pop50-59,pop60-69,pop70-79,pop80-89,pop90+,total_pop
E02002597,6308,1147,928,642,229,26,9280
E02002598,7335,1482,840,428,157,30,10272
E02002599,6887,1860,1273,789,287,69,11165
E02002600,5659,1321,898,653,342,76,8949
E02002601,5083,1335,917,872,489,58,8754
E02002602,6281,928,606,383,117,24,8339
E02002603,3533,1140,972,887,333,47,6912
E02002604,3849,1175,932,964,388,69,7377
E02002605,5595,1278,1043,771,320,28,9035
E02002606,8708,1380,858,603,328,104,11981
E02002607,7830,1352,997,930,434,78,11621
E02002608,4036,1256,962,1182,692,108,8236
E02002609,6962,1161,745,533,242,57,9700
E02002610,7267,1986,1394,1351,602,109,12709
E02002611,4238,1300,873,782,472,117,7782
E02002612,5048,1430,1075,891,526,160,9130
E02002613,3407,1267,792,639,286,64,6455
E02002614,2519,1099,878,736,331,53,5616
E02002615,6865,1217,855,808,459,73,10277
E02002616,6254,941,787,569,274,66,8891
E02002617,7171,864,664,349,189,24,9261
E02002618,5782,682,576,250,162,38,7490
E02002619,6686,938,716,400,194,63,8997
E02002620,6583,948,776,388,184,25,8904
E02002621,6703,809,654,316,118,14,8614
E02002622,7983,1120,855,514,183,59,10714
E02002623,7383,1262,861,611,293,53,10463
E02002624,4277,1271,1108,951,524,89,8220
E02002625,6718,1334,871,561,223,28,9735
E02002626,4223,1020,813,671,332,62,7121
E02002627,5114,1231,669,464,188,21,7687
E02002628,3982,1011,759,618,257,49,6676
E02002629,3704,793,613,406,184,12,5712
E02002630,4045,934,648,448,237,41,6353
E02002631,4754,1382,1023,890,320,39,8408
E02002632,3068,1241,924,695,215,30,6173
E02002633,3784,1135,966,1101,592,133,7711
E02002634,4087,1203,1002,1034,523,105,7954
E02002635,3943,1237,1039,1041,540,143,7943
E02002636,4900,1215,999,800,322,53,8289
E02002637,3437,967,647,597,342,56,6046
E02002638,3466,1042,769,463,211,47,5998
E02002639,4132,795,604,425,128,26,6110
E02002640,4604,993,697,386,161,36,6877
E02002641,4969,1226,846,603,378,66,8088
E02002642,4418,1151,779,492,219,60,7119
E02002643,5040,1086,731,490,194,45,7586
E02002644,4494,1137,873,732,358,70,7664
E02002645,3731,968,775,429,113,31,6047
E02002646,3820,1000,856,740,339,49,6804
E02002647,5027,1079,861,651,284,35,7937
E02002648,4446,979,811,629,259,56,7180
E02002649,4620,1282,909,805,406,111,8133
E02002650,4159,1246,1073,1028,484,93,8083
E02002651,4151,1201,942,922,524,137,7877
E02002652,11725,1630,999,435,140,19,14948
E02002653,5480,996,688,554,254,35,8007
E02002654,6095,864,567,333,201,37,8097
E02002655,6014,1118,730,610,212,26,8710
E02002656,2255,751,729,739,425,54,4953
E02002657,4118,922,986,816,310,24,7176
E02002658,3475,969,916,613,318,65,6356
E02002659,7541,1318,987,593,373,52,10864
E02002660,4114,888,831,577,251,48,6709
E02002661,5152,1011,908,616,429,114,8230
E02002662,3776,996,864,687,428,64,6815
E02002663,5428,561,513,334,115,15,6966
E02002664,3997,1121,865,724,283,29,7019
E02002665,4918,1091,917,692,295,95,8008
E02002666,7281,724,494,304,170,49,9022
E02002667,4607,964,767,511,207,43,7099
E02002668,5525,1043,840,638,307,71,8424
E02002669,6013,1005,612,327,139,20,8116
E02002670,4670,1168,815,673,395,79,7800
E02002671,5878,1244,863,523,259,52,8819
E02002672,5244,816,630,399,232,44,7365
E02002673,4822,1007,736,550,241,41,7397
E02002674,4015,938,692,549,247,28,6469
E02002675,6780,1033,769,425,165,35,9207
E02002676,5074,928,624,445,214,35,7320
E02002677,5629,1127,790,529,236,42,8353
E02002678,5514,1118,720,445,209,23,8029
E02002679,4256,1068,982,690,387,55,7438
E02002680,7248,1006,717,505,263,53,9792
E02002681,6562,1083,676,417,184,46,8968
E02002682,6421,1205,984,595,228,40,9473
E02006813,4537,1069,925,729,477,92,7829
E02002684,3744,1383,1789,1996,886,146,9944
E02002685,3108,1153,1380,1484,634,92,7851
E02002686,4640,1028,999,931,448,99,8145
E02002687,2958,912,909,784,344,72,5979
E02002688,2838,944,809,611,247,84,5533
E02002689,2420,971,1009,810,386,72,5668
E02002691,3928,1255,1251,1166,499,91,8190
E02002692,4692,1490,1303,1090,396,108,9079
E02002693,3247,1271,1167,1040,372,59,7156
E02002694,6305,1925,1585,1479,694,136,12124
E02002695,3631,1197,1366,1367,628,116,8305
E02002696,2914,1019,897,703,312,62,5907
E02002697,3610,1304,1176,1077,459,52,7678
E02002698,4706,1176,1126,997,428,72,8505
E02002699,4979,1517,1299,1208,604,127,9734
E02002700,3895,874,667,544,293,39,6312
E02002701,4150,1506,1364,962,365,77,8424
E02002702,5075,1605,1425,1151,653,151,10060
E02002703,4491,1642,1281,967,496,87,8964
E02002704,3152,1197,1264,1073,391,50,7127
E02002705,2850,1012,1003,935,529,91,6420
E02002706,3684,1165,988,787,448,91,7163
E02002707,3669,1289,1016,888,406,63,7331
E02002708,3250,850,919,841,612,146,6618
E02002709,4169,1319,1086,870,402,74,7920
E02002710,3890,1195,925,834,506,97,7447
E02002711,3446,1201,1107,1084,669,123,7630
E02002712,3658,1147,1163,1067,486,89,7610
E02002714,3646,1300,1354,1076,387,60,7823
E02002715,8361,2058,1301,1124,565,94,13503
E02002716,4500,1293,1171,1074,463,60,8561
E02002717,4712,1096,927,718,417,86,7956
